species,photo,rock#,rock.circumference
arte,6439,2,NA
arte,6440,2,NA
arte,6441,2,NA
arte,6442,2,NA
arte,6449,2,1.1
arte,6452,2,NA
arte,6453,2,0.4
arte,6454,2,NA
arte,6458,2,0.7
arte,6459,2,0.5
arte,6461,2,NA
arte,6465,2,0.4
arte,6467,2,0.6
arte,6468,2,1.3
arte,6477,2,1.2
coei,6433,2,NA
coei,6434,2,0.8
coei,6448,2,NA
coei,6450,2,NA
coei,6466,2,NA
coei,6494,2,0.4
coei,6495,2,1
coei,6496,2,0.9
coei,6497,2,1
coei,6499,2,NA
coei,6500,2,NA
coei,6501,2,0.9
coei,6503,2,0.5
coei,6504,2,1.8
rand,1126,2,3
rand,1121,2,1
rand,1116,2,2.5
rand,1111,2,NA
rand,1106,2,0.5
rand,1101,2,6
rand,1096,2,2
rand,1091,2,5
rand,1086,2,3.5
rand,1081,2,1.5
rand,1076,2,5
rand,1071,2,3
rand,1066,2,1.5
rand,1061,2,NA
rand,1056,2,1
rand,1050,2,3
rand,1045,2,2.5
rand,1040,2,1.5
rand,1035,2,6
rand,1030,2,4
rand,1025,2,3
rand,1020,2,1.5
rand,1015,2,NA
rand,1010,2,NA
rand,1004,2,2.5
rand,46-NST,2,1.5
rand,45-NST,2,5.5
rand,44-NST,2,0.5
rand,43-NST,2,NA
rand,42-NST,2,3
rand,41-NST,2,0.5
rand,40-NST,2,5
rand,39-NST,2,1.5
rand,38-NST,2,3
rand,37-NST,2,3
rand,36-NST,2,5
rand,35-NST,2,3.5
rand,34-NST,2,5
rand,33-NST,2,1
rand,32-NST,2,2.5
rand,31-NST,2,2
rand,30-NST,2,1.5
rand,29-NST,2,3
rand,28-NST,2,5
rand,27-NST,2,2
rand,26-NST,2,1.5
rand,20-NST,2,5
rand,19-NST,2,NA
rand,18-NST,2,NA
rand,17-NST,2,NA
rand,16-NST,2,4
rand,15-NST,2,NA
rand,14-NST,2,2
rand,13-NST,2,2.5
rand,12-NST,2,NA
rand,11-NST,2,5
rand,10-NST,2,3.5
rand,9-NST,2,4.5
rand,8-NST,2,NA
rand,7-NST,2,5
rand,6-NST,2,1.5
rand,5-NST,2,1
rand,4-NST,2,4.5
rand,3-NST,2,2
rand,2-NST,2,4.5
rand,1-NST,2,3.5
rand,P1210832,2,NA
rand,P1210827,2,NA
rand,P1210821,2,3
rand,P1210816,2,NA
rand,P1210811,2,NA
rand,P1210806,2,NA
rand,P1210801,2,NA
rand,P1210796,2,NA
rand,P1210790,2,5
rand,P1210785,2,3
rand,P1210773,2,6
rand,P1210763,2,1
rand,P1210758,2,2.5
rand,P1210753,2,NA
rand,P1210748,2,3
rand,P1210743,2,NA
rand,P1210735,2,0.5
rand,P1210729,2,NA
rand,P1210724,2,0.5
rand,P1210719,2,3.5
rand,P1210714,2,1
rand,P1210708,2,1.5
rand,P1210700,2,4.5
rand,P1210695,2,1.5
rand,P1210690,2,1.5
