species,photo,%rock,%veg,%mud/dirt,%other,1,2,3,4,5,6,7,8,9,10
rand,37-NST,100,0,0,0,3,3,5,3.5,2,3,4,2.5,3.5,5.5
rand,36-NST,5,95,0,0,3,5,1.5,2,2.5,4,1,2,0.5,2
rand,35-NST,85,15,0,0,2,3.5,1,3,4,2.5,1,1,1.5,3
rand,34-NST,15,85,0,0,2.5,5,4,2,2.5,3,1.5,6.5,0.5,3.5
rand,33-NST,30,50,20,0,2.5,1,4,1.5,2.5,6,0.5,3,3.5,5
rand,32-NST,100,0,0,0,5,2.5,2,4.5,3,2,8,4,2,1
rand,31-NST,2,98,0,0,0.5,2,1,1,3,1.5,1,3,2,0.5
rand,30-NST,100,0,0,0,2.5,1.5,2,3.5,4.5,3,1,6,2.5,4
rand,29-NST,100,0,0,0,7.5,3,5,1.5,4,6,2.5,6.5,3.5,4.5
rand,28-NST,100,0,0,0,7.5,5,8,5.5,2.5,3,7,6,4.5,5
rand,27-NST,100,0,0,0,3,2,3.5,2,5,2.5,4.5,4,4,2
rand,26-NST,100,0,0,0,1,1.5,3,2.5,3,4,2.5,1,1,4.5
rand,20-NST,40,56,0,4,2,5,4,6.5,1.5,1,2.5,5.5,3,3
rand,19-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,18-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,17-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,16-NST,75,25,0,0,4.5,4,5,3.5,2.5,6,4,3.5,2,4.5
rand,15-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,14-NST,25,75,0,0,2.5,2,1,2.5,3.5,1.5,2,3,1.5,1
rand,13-NST,85,15,0,0,3,2.5,7,4,1,2.5,4.5,3,2,1
rand,12-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,11-NST,55,45,0,0,1.5,5,8,2.5,4.5,2,2,3.5,3,6.5
rand,10-NST,85,15,0,0,4,3.5,3,1,2.5,3,5,1.5,2.5,4
rand,9-NST,100,0,0,0,4,4.5,3,2,1.5,4.5,6,2.5,3,4.5
rand,8-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,7-NST,40,60,0,0,3.5,5,2.5,1,3,5,4,3.5,2,2.5
rand,6-NST,80,20,0,0,3.5,1.5,3,2.5,1,4,1,1.5,4,4.5
rand,5-NST,90,10,0,0,0.5,1,0.5,2,1.5,3,2,1,4,0.5
rand,4-NST,95,5,0,0,2,4.5,3,3,4,0.5,2.5,1.5,3,2
rand,3-NST,50,50,0,0,3,2,5,2.5,3,1.5,5,4.5,6,1.5
rand,2-NST,35,65,0,0,2,4.5,6.5,2,1,3.5,4,1.5,5,5.5
rand,1-NST,95,5,0,0,1.5,3.5,2,1.5,5,3,2.5,2.5,2.5,1
rand,P1210832,1,99,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210827,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210821,20,80,0,0,2,3,2,1.5,1.5,2.5,5,3.5,0.5,2
rand,P1210816,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210811,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210806,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210801,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210796,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210790,5,95,0,0,2.5,5,2,4.5,6.5,7,5,3,1,2
rand,P1210785,60,40,0,0,8,3,5.5,5,4,4,2,2,1,3.5
rand,P1210773,5,95,0,0,4,6,5.5,2.5,5,4,4,5.5,3.5,4
rand,P1210763,100,0,0,0,2,1,4.5,2.5,4,3.5,2,2,1.5,5
rand,P1210758,40,60,0,0,3.5,2.5,2,4,2.5,5,3,2.5,2,4.5
rand,P1210753,1,99,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210748,3,97,0,0,4,3,0.5,2.5,3.5,3,4,7,5,3.5
rand,P1210743,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210735,75,25,0,0,1,0.5,2.5,1.5,3.5,3,3,2,4.5,3
rand,P1210729,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand,P1210724,85,15,0,0,4,0.5,0.5,1,2,4,3,3.5,2.5,3
rand,P1210719,100,0,0,0,4.5,3.5,3.5,3,4.5,4,2.5,1.5,3,5
rand,P1210714,90,10,0,0,0.5,1,0.5,2,2.5,1.5,1,3.5,2.5,3
rand,P1210708,70,30,0,0,2,1.5,4.5,3,1,3,2.5,5,3,2.5
rand,P1210700,15,85,0,0,4.5,4.5,4,2,3.5,6,4.5,4,1,3
rand,P1210695,90,10,0,0,2.5,1.5,4.5,2,1,3,2.5,3.5,1.5,1
rand,P1210690,10,90,0,0,3,1.5,2.5,1,0.5,1.5,2.5,3,2.5,0.5
rand,P1210685,15,85,0,0,1,1.5,0.5,2,1.5,1,3,1.5,0.5,2
rand,P1210680,100,0,0,0,0.5,1.5,4,3,2.5,1.5,1,1,0.5,1.5
rand,P1210675,100,0,0,0,5,7.5,2.5,4.5,4,5,5,5.5,6,4.5
rand,P1210670,98,2,0,0,2.5,0.5,4,2.5,3.5,4.5,1.5,2,3,4
rand,P1210665,95,5,0,0,1,3.5,5.5,1.5,0.5,1,1,0.5,2.5,2
sagu,0716-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0715-NST,5,95,0,0,12,10,1,1,1,1.5,0.5,2,1,1.5
sagu,0714-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0713-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0712-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0711-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0709-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0708-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu,0707-NST,20,80,0,0,4.5,5,3,4,2.5,4.5,3.5,4,5.5,3
sagu,0705-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
