ID,photo,1,2,3,4,5,6,7,8,9,10,correctedspecies
81,31-NST,0.5,2,1,1,3,1.5,1,3,2,0.5,rand
82,30-NST,2.5,1.5,2,3.5,4.5,3,1,6,2.5,4,rand
83,29-NST,7.5,3,5,1.5,4,6,2.5,6.5,3.5,4.5,rand
84,28-NST,7.5,5,8,5.5,2.5,3,7,6,4.5,5,rand
85,27-NST,3,2,3.5,2,5,2.5,4.5,4,4,2,rand
86,26-NST,1,1.5,3,2.5,3,4,2.5,1,1,4.5,rand
87,20-NST,2,5,4,6.5,1.5,1,2.5,5.5,3,3,rand
88,19-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
89,18-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
90,17-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
91,16-NST,4.5,4,5,3.5,2.5,6,4,3.5,2,4.5,rand
92,15-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
93,14-NST,2.5,2,1,2.5,3.5,1.5,2,3,1.5,1,rand
94,13-NST,3,2.5,7,4,1,2.5,4.5,3,2,1,rand
95,12-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
96,11-NST,1.5,5,8,2.5,4.5,2,2,3.5,3,6.5,rand
97,10-NST,4,3.5,3,1,2.5,3,5,1.5,2.5,4,rand
98,9-NST,4,4.5,3,2,1.5,4.5,6,2.5,3,4.5,rand
99,8-NST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
100,7-NST,3.5,5,2.5,1,3,5,4,3.5,2,2.5,rand
101,6-NST,3.5,1.5,3,2.5,1,4,1,1.5,4,4.5,rand
102,5-NST,0.5,1,0.5,2,1.5,3,2,1,4,0.5,rand
103,4-NST,2,4.5,3,3,4,0.5,2.5,1.5,3,2,rand
104,3-NST,3,2,5,2.5,3,1.5,5,4.5,6,1.5,rand
105,2-NST,2,4.5,6.5,2,1,3.5,4,1.5,5,5.5,rand
106,1-NST,1.5,3.5,2,1.5,5,3,2.5,2.5,2.5,1,rand
107,P1210832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
108,P1210827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
109,P1210821,2,3,2,1.5,1.5,2.5,5,3.5,0.5,2,rand
110,P1210816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
111,P1210811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
112,P1210806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
113,P1210801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
114,P1210796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
115,P1210790,2.5,5,2,4.5,6.5,7,5,3,1,2,rand
116,P1210785,8,3,5.5,5,4,4,2,2,1,3.5,rand
117,P1210773,4,6,5.5,2.5,5,4,4,5.5,3.5,4,rand
118,P1210763,2,1,4.5,2.5,4,3.5,2,2,1.5,5,rand
119,P1210758,3.5,2.5,2,4,2.5,5,3,2.5,2,4.5,rand
120,P1210753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
121,P1210748,4,3,0.5,2.5,3.5,3,4,7,5,3.5,rand
122,P1210743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
123,P1210735,1,0.5,2.5,1.5,3.5,3,3,2,4.5,3,rand
124,P1210729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,rand
125,P1210724,4,0.5,0.5,1,2,4,3,3.5,2.5,3,rand
126,P1210719,4.5,3.5,3.5,3,4.5,4,2.5,1.5,3,5,rand
127,P1210714,0.5,1,0.5,2,2.5,1.5,1,3.5,2.5,3,rand
128,P1210708,2,1.5,4.5,3,1,3,2.5,5,3,2.5,rand
129,P1210700,4.5,4.5,4,2,3.5,6,4.5,4,1,3,rand
130,P1210695,2.5,1.5,4.5,2,1,3,2.5,3.5,1.5,1,rand
131,P1210690,3,1.5,2.5,1,0.5,1.5,2.5,3,2.5,0.5,rand
132,P1210685,1,1.5,0.5,2,1.5,1,3,1.5,0.5,2,rand
133,P1210680,0.5,1.5,4,3,2.5,1.5,1,1,0.5,1.5,rand
