species,photo,%rock,%veg,%mud/dirt,%other,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
rand14,1061,0.5,0,99.5,0,0,0,0,0,0,0,0,0,0,0
rand15,1056,85,15,0,0,1.5,1,3.5,0.5,4,2,7,1.5,0.5,2
rand16,1050,95,0,0,5,3.5,3,4,6.5,4,3,1,2,1.5,3
rand17,1045,96,0,0,4,6,2.5,1,2.5,2,3,1,2.5,6,1.5
rand18,1040,100,0,0,0,5,1.5,3,5,1,2.5,5,4,2.5,2.5
rand19,1035,100,0,0,0,5.5,6,1.5,8,2,4.5,2.5,5,3.5,2
rand20,1030,96,4,0,0,6.5,4,7,6,5.5,6,3.5,4,2.5,4.5
rand21,1025,100,0,0,0,3,3,2.5,2,4,7.5,4,10,5,3.5
rand22,1020,100,0,0,0,3,1.5,3,4,2.5,1.5,2,2,2.5,5
rand23,1015,3,97,0,0,0,0,0,0,0,0,0,0,0,0
rand24,1010,1,99,0,0,0,0,0,0,0,0,0,0,0,0
rand25,1004,98,2,0,0,3.5,2.5,2,2.5,1.5,1,3,3,2,1.5
rand26,46-NST,100,0,0,0,2,1.5,2.5,1,3,1,1,2,2.5,1
rand27,45-NST,100,0,0,0,4,5.5,3,2.5,4,4,3,2.5,3.5,5.5
rand28,44-NST,80,0,20,0,1,0.5,1.5,5,1,3.5,3,6,2,1
rand29,43-NST,0.5,0,95.5,0,0,0,0,0,0,0,0,0,0,0
rand30,42-NST,99,1,0,0,2,3,3.5,1,2.5,5,3,2.5,6,2
rand31,41-NST,97,3,0,0,2.5,0.5,1,2,3,2,2.5,1,4,3
rand32,40-NST,60,40,0,0,2.5,5,2,5,1,3.5,4,3.5,4.5,2.5
rand33,39-NST,100,0,0,0,2,1.5,3,2.5,2,4,5,3,2.5,1
rand34,38-NST,100,0,0,0,4,3,1,4.5,2.5,2.5,7,2,6,3.5
rand35,37-NST,100,0,0,0,3,3,5,3.5,2,3,4,2.5,3.5,5.5
rand36,36-NST,5,95,0,0,3,5,1.5,2,2.5,4,1,2,0.5,2
rand37,35-NST,85,15,0,0,2,3.5,1,3,4,2.5,1,1,1.5,3
rand38,34-NST,15,85,0,0,2.5,5,4,2,2.5,3,1.5,6.5,0.5,3.5
rand39,33-NST,30,50,20,0,2.5,1,4,1.5,2.5,6,0.5,3,3.5,5
rand40,32-NST,100,0,0,0,5,2.5,2,4.5,3,2,8,4,2,1
rand41,31-NST,2,98,0,0,0.5,2,1,1,3,1.5,1,3,2,0.5
rand42,30-NST,100,0,0,0,2.5,1.5,2,3.5,4.5,3,1,6,2.5,4
rand43,29-NST,100,0,0,0,7.5,3,5,1.5,4,6,2.5,6.5,3.5,4.5
rand44,28-NST,100,0,0,0,7.5,5,8,5.5,2.5,3,7,6,4.5,5
rand45,27-NST,100,0,0,0,3,2,3.5,2,5,2.5,4.5,4,4,2
rand46,26-NST,100,0,0,0,1,1.5,3,2.5,3,4,2.5,1,1,4.5
rand47,20-NST,40,56,0,4,2,5,4,6.5,1.5,1,2.5,5.5,3,3
rand48,19-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand49,18-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand50,17-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand51,16-NST,75,25,0,0,4.5,4,5,3.5,2.5,6,4,3.5,2,4.5
rand52,15-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand53,14-NST,25,75,0,0,2.5,2,1,2.5,3.5,1.5,2,3,1.5,1
rand54,13-NST,85,15,0,0,3,2.5,7,4,1,2.5,4.5,3,2,1
rand55,12-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand56,11-NST,55,45,0,0,1.5,5,8,2.5,4.5,2,2,3.5,3,6.5
rand57,10-NST,85,15,0,0,4,3.5,3,1,2.5,3,5,1.5,2.5,4
rand58,9-NST,100,0,0,0,4,4.5,3,2,1.5,4.5,6,2.5,3,4.5
rand59,8-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand60,7-NST,40,60,0,0,3.5,5,2.5,1,3,5,4,3.5,2,2.5
rand61,6-NST,80,20,0,0,3.5,1.5,3,2.5,1,4,1,1.5,4,4.5
rand62,5-NST,90,10,0,0,0.5,1,0.5,2,1.5,3,2,1,4,0.5
rand63,4-NST,95,5,0,0,2,4.5,3,3,4,0.5,2.5,1.5,3,2
rand64,3-NST,50,50,0,0,3,2,5,2.5,3,1.5,5,4.5,6,1.5
rand65,2-NST,35,65,0,0,2,4.5,6.5,2,1,3.5,4,1.5,5,5.5
rand66,1-NST,95,5,0,0,1.5,3.5,2,1.5,5,3,2.5,2.5,2.5,1
rand67,P1210832,1,99,0,0,0,0,0,0,0,0,0,0,0,0
rand68,P1210827,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand69,P1210821,20,80,0,0,2,3,2,1.5,1.5,2.5,5,3.5,0.5,2
rand70,P1210816,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand71,P1210811,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand72,P1210806,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand73,P1210801,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand74,P1210796,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand75,P1210790,5,95,0,0,2.5,5,2,4.5,6.5,7,5,3,1,2
rand76,P1210785,60,40,0,0,8,3,5.5,5,4,4,2,2,1,3.5
rand77,P1210773,5,95,0,0,4,6,5.5,2.5,5,4,4,5.5,3.5,4
rand78,P1210763,100,0,0,0,2,1,4.5,2.5,4,3.5,2,2,1.5,5
rand79,P1210758,40,60,0,0,3.5,2.5,2,4,2.5,5,3,2.5,2,4.5
rand80,P1210753,1,99,0,0,0,0,0,0,0,0,0,0,0,0
rand81,P1210748,3,97,0,0,4,3,0.5,2.5,3.5,3,4,7,5,3.5
rand82,P1210743,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand83,P1210735,75,25,0,0,1,0.5,2.5,1.5,3.5,3,3,2,4.5,3
rand84,P1210729,0,100,0,0,0,0,0,0,0,0,0,0,0,0
rand85,P1210724,85,15,0,0,4,0.5,0.5,1,2,4,3,3.5,2.5,3
rand86,P1210719,100,0,0,0,4.5,3.5,3.5,3,4.5,4,2.5,1.5,3,5
rand87,P1210714,90,10,0,0,0.5,1,0.5,2,2.5,1.5,1,3.5,2.5,3
rand88,P1210708,70,30,0,0,2,1.5,4.5,3,1,3,2.5,5,3,2.5
rand89,P1210700,15,85,0,0,4.5,4.5,4,2,3.5,6,4.5,4,1,3
rand90,P1210695,90,10,0,0,2.5,1.5,4.5,2,1,3,2.5,3.5,1.5,1
rand91,P1210690,10,90,0,0,3,1.5,2.5,1,0.5,1.5,2.5,3,2.5,0.5
rand92,P1210685,15,85,0,0,1,1.5,0.5,2,1.5,1,3,1.5,0.5,2
rand93,P1210680,100,0,0,0,0.5,1.5,4,3,2.5,1.5,1,1,0.5,1.5
rand94,P1210675,100,0,0,0,5,7.5,2.5,4.5,4,5,5,5.5,6,4.5
rand95,P1210670,98,2,0,0,2.5,0.5,4,2.5,3.5,4.5,1.5,2,3,4
rand96,P1210665,95,5,0,0,1,3.5,5.5,1.5,0.5,1,1,0.5,2.5,2
sagu1,0716-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu2,0715-NST,5,95,0,0,12,10,1,1,1,1.5,0.5,2,1,1.5
sagu3,0714-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu4,0713-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu5,0712-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu6,0711-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu7,0709-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu8,0708-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu9,0707-NST,20,80,0,0,4.5,5,3,4,2.5,4.5,3.5,4,5.5,3
sagu10,0705-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu11,0703-NST,5,95,0,0,2.5,2.5,3.5,0.5,0.5,5,2,3,3.5,2.5
sagu12,0704-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu13,0702-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu14,0701-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
sagu15,0710-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu1,0701-NST,5,95,0,0,1,4,,1.5,2.5,2,1,1,1,0.5
ltdu2,0713-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu3,0708-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu4,0707-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
ltdu5,0702-NST,2,98,0,0,1,0.5,4.5,6.5,1,2.5,2,1.5,5,4
coei1,07127-NST,5,95,0,0,4.5,5,6.5,4.5,3,3.5,3.5,2.5,1,0.5
coei2,0774-NST,20,80,0,0,8,4.5,8.5,3.5,6.5,4,2.5,9.5,1,1.5
coei3,0769-NST,60,40,0,0,2.5,3,1.5,2.5,3.5,2.5,1,1.5,0.5,4
coei4,0768-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei5,0763-NST,10,90,0,0,4,2.5,2.5,3,1.5,4.5,4,3.5,3,2
coei6,07103-NST,2,98,0,0,2.5,6,8,5,2,1,0.5,0.5,0.5,4
coei7,0713-NST,10,88,0,2,8.5,7.5,3.5,2.5,5.5,4.5,5,4,3.5,1
coei8,07126-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
coei9,07125-NST,5,75,20,0,5,4,1,4.5,3.5,3,4.5,0.5,2,1.5
coei10,07124-NST,10,90,0,0,2,2.5,1,4.5,4,5,1.5,0.5,2,1.5
coei11,07120-NST,60,40,0,0,5,5,5.5,4.5,6,4,3.5,1,5.5,7
coei12,07119-NST,10,90,0,0,3.5,2.5,5.5,4,2.5,1.5,0.5,0.5,1,3
coei13,0745-NST,15,85,0,0,4.5,5.5,4.5,5.5,1.5,0.5,3.5,6,0.5,5
coei14,0750-NST,10,90,0,0,2,2.5,8.5,3.5,0.5,3,4,2.5,2,4
coei15,0749-NST,30,70,0,0,5,4.5,3.5,4.5,1.5,3.5,2.5,2,1,2
coei16,0738-NST,30,70,0,0,9,4.5,7,7.5,3.5,2.5,1.5,1,2,5
coei17,0737-NST,50,50,0,0,5,5,1,0.5,4,3,6,4,4.5,2.5
coei18,0735-NST,10,90,0,0,2.5,2,1.5,1,0.5,3,4,2.5,3,3.5
coei19,0729-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei20,0718-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei21,005-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
coei22,115-NST,25,75,0,0,2.5,3,1,1,1,1.5,2,0.5,0.5,2
arte1,07279-NST,5,95,0,0,2,1.5,3.5,4,1,2,2.5,1.5,0.5,3
arte2,07278-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte3,07277-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte4,07191-NST,15,85,0,0,5.5,4,5,2,1,4,1,2.5,2.5,3
arte5,0758-NST,15,85,0,0,0.5,4,3.5,1.5,10,2.5,2,3,4.5,0.5
arte6,0752-NST,5,95,0,0,1.5,0.5,5,2,2,1,2,4,2.5,3
arte7,07276-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
arte8,07275-NST,5,95,0,0,2.5,0.5,0.5,0.5,3,4,2,1.5,3,1.5
arte9,07258-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte10,07257-NST,5,95,0,0,0.5,3,1.5,1,0.5,0.5,1,2,1,2.5
arte11,07243-NST,10,90,0,0,7,3,1,5,2,0.5,1,0.5,1,4
arte12,07242-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte13,07226-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte14,07224-NST,5,95,0,0,2,2,2,2.5,1,1,1.5,2,2,2
arte15,07222-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte16,07219-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte17,07273-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte18,07272-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte19,07271-NST,2,98,0,0,1,4,2.5,1,1,3.5,1,0.5,2.5,2
arte20,07210-NST,0,100,0,0,0,0,0,0,0,0,,0,0,0
arte21,07183-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
arte22,07182-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte23,07180-NST,10,90,0,0,2,3,4,1,0.5,4,2,3.5,4,5
arte24,07178-NST,2,98,0,0,3.5,3.5,0.5,0.5,1,1.5,5,2,2,3
arte25,07171-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte26,07158-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte27,07156-NST,5,95,0,0,2,4,1.5,1,2,2,0.5,0.5,1,3
arte28,07154-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte29,07152-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte30,07148-NST,5,95,0,0,4,5,2,2.5,3.5,4,4.5,5,1,0.5
arte31,07133-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte32,07131-NST,10,90,0,0,6,7.5,4.5,5,6,2.5,7,8.5,6,5
arte33,07129-NST,5,95,0,0,0.5,1,2,5,0.5,4,6.5,2.5,3.5,4
arte34,0757-NST,15,85,0,0,5,5,3,7,2.5,3.5,1.5,2,2,4.5
arte35,0755-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte36,0718-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte37,0712-NST,2,98,0,0,0,0,0,0,0,0,0,0,0,0
arte38,0709-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte39,07261-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte40,07201-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte41,07161-NST,10,90,0,0,0.5,0.5,1,1.5,1,1,2,2.5,0.5,1
arte42,07159-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte43,07157-NST,5,95,0,0,0.5,0.5,0.5,0.5,0.5,4,1,0.5,0.5,0.5
arte44,07144-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte45,07139-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
arte46,0730-NST,0,100,0,0,0,0,0,0,0,0,0,0,0,0
pusa,pusa0701,10,90,0,0,1.5,2,3.5,2,2,1,1.5,1,0.5,3
ltdu,ltdu0712,2,98,0,0,0.5,2.5,5.5,2.5,2,0.5,1,1,3,1
coei,coei07999,5,95,0,0,3,2,2.5,0.5,3.5,4,5.5,2.5,2.5,3
coei,coei07998,20,80,0,0,4.5,1,2.5,5,5,3.5,2.5,8,1.5,2.5
coei,coei07997,75,25,0,0,9,2,6,5.5,7,1,4,5,4.5,2
coei,coei0794,15,85,0,0,3,2,2,1,3.5,1.5,1.5,1,4.5,0.5
coei,coei0790,20,80,0,0,2.5,2,3,5,5.5,6,1.5,1,3.5,0.5
coei,coei0702,10,90,0,0,3,5,2,4,1,1.5,2.5,2,0.5,1
arte,arte07998,5,95,0,0,2.5,3.5,5,2,1,6,4,2,3.5,0.5
arte,arte07997,2,98,0,0,0,0,0,0,0,0,0,0,0,0
